用户编号,用户名,性别,用户等级,个性签名,会员,粉丝勋章,关注数,粉丝数
1,bishi,保密,4,,年度大会员,,5,157055
2,碧诗,男,6,kami.im 直男过气网红 # av362830 “We Are Star Dust”,十年大会员,伍千万,234,966533
3,囧囧倉,男,5,富强、民主、文明、和谐、自由、平等、公正、法治、爱国、敬业、诚信、友善。,,,116,9743
4,枢木朱雀,保密,5,,年度大会员,MuMu娘,69,4063
5,幻想乡,男,6,,年度大会员,,15,6086
6,腹黑君,保密,5,,年度大会员,亚路稽,51,4969
7,Tzwcard,保密,5,にじさんじが大好き 謝謝茄子 头像：江良ちゃん by またのんき▼先生,,水晶鞋,67,5082
8,Lizeqiangds,男,5,有空来微博找我哦 @Lizeqinagd,年度大会员,呆玄玄,68,2241
9,柴刀娘木木,女,6,ヽ(•̀ω•́ )ゝ我坚信双马尾即是正义！家里供着三坨爱宠：biubiu和皮卡丘和uid12魔熊 ！【随便水的水群号：111343151】,年度大会员,魔熊,495,45423
10,橙卡-bydmm,保密,6,Golang CRUD杂耍大师,年度大会员,,155,11881
11,春哥,保密,2,,,,0,2422
12,MagicBear,保密,6,这里是魔熊，喊我MB也可以。这个号的主人的主人是uid9 木木娘，欢迎一起关注！^ ^我们会不定时直播，直播间不是3322号就是99号。,年度大会员,MuMu娘,233,102852
13,五月天,保密,6,2024.7,年度大会员,,1,5390
14,初音ミク,女,4,2020-09-15 已考古人数 363 ～(￣▽￣～)~,,,1,5269
15,三分之一劫,保密,3,乏善可陈的自我绝望,年度大会员,,19,2421
16,荼荼丸,男,6,彳不亍,,,9,86468
17,WEIghtness,女,6,包括但不仅限于“活了”，“考古”，“不要考古”等无意义评论会被删除并拉黑。,,爽粉,264,2923
18,暁の赤月,男,5,YUI ~にゃん~,年度大会员,,53,9119
19,大大大罐头,男,6,来考古的留步一下了解下铃木实里啊，谢谢！,年度大会员,,357,7023
20,恶魔晓月曲,保密,6,你可以在很多地方看到我。,年度大会员,大母鹅,72,6323
24,不思議,男,6,No Music No Life.,年度大会员,XZ黑,147,5519
25,忙碌的呆瓜,保密,4,2021.8.9,,,2,1316
26,En1ightened,保密,5,漫天的我滴到地上 树种的我发芽了，而你在想着我。,,千千莫,99,396
27,feng,保密,2,,,,0,608
28,IamLogos,保密,3,,年度大会员,,0,227
29,管理員,保密,3,***************,,,0,244
30,堆堆堆堆堆堆堆堆堆堆,保密,5,不卖号别问了 球球你们,年度大会员,,59,322
31,習子,保密,4,,,,0,184
32,一条黑黑,男,6,小朋友们，别考古了。,大会员,,211,754
33,番茄,保密,4,,十年大会员,,28,372
34,右肩の蝶,保密,4,别问，活着,年度大会员,砂锅鸡,3,218
35,愛在二次元,男,6,絢辻さんの下僕です。,,PixeI,27,684
36,芙兰朵露斯卡雷特,保密,2,愛在二次元,,,1,366
37,折射,男,6,Up主≠作者，除非标明原创的投稿，其余搬运类视频询问事项不予以回复，请各位知悉。,年度大会员,,49,16329
38,玛奇玛,保密,6,,年度大会员,嘉心糖,913,8359
39,胡桃,保密,4,别问.活着.不卖.偶尔上. 顺带，不玩原神。视频没删留个纪念,年度大会员,嘉心糖,109,1831
40,美丽生活观察员,保密,3,,,,0,413
41,不祥之赵,保密,5,,,,1,332
