文章名称,发布时间,对应链接
【淮安校区】【党史学习教育】淮安校区各党支部开展2021年组织生活会,2021-07-20,http://news.njfu.edu.cn/ybdt/20210720/i226267.html
【实基处】【党史学习教育】实基处打造实验安全管理“南林行动”,2021-07-20,http://news.njfu.edu.cn/ybdt/20210720/i226266.html
【淮安校区】【党史学习教育】淮安校区专题学习研讨习近平总书记在庆祝中国共产党成立10...,2021-07-17,http://news.njfu.edu.cn/ybdt/20210717/i226069.html
【化工院】【党史学习教育】化工院召开党委理论学习中心组集体学习会,2021-07-15,http://news.njfu.edu.cn/ybdt/20210715/i225986.html
【继教院】继教院举行2021届成人教育毕业典礼暨学位授予仪式,2021-07-14,http://news.njfu.edu.cn/ybdt/20210714/i225956.html
【学工处】我校举办学院心理健康教育特色活动评比汇报会,2021-07-14,http://news.njfu.edu.cn/ybdt/20210714/i225955.html
【校团委】【党史学习教育】我校学子在党史学习教育中荣获多项佳绩,2021-07-14,http://news.njfu.edu.cn/ybdt/20210714/i225954.html
【人文院】【党史学习教育】人文院与江苏工人报社举行共建签约仪式,2021-07-09,http://news.njfu.edu.cn/ybdt/20210709/i225793.html
【后勤处】【党史学习教育】后勤党工委理论学习中心组专题学习习近平总书记“七一”重要讲...,2021-07-08,http://news.njfu.edu.cn/ybdt/20210708/i225754.html
【宣传部】【党史学习教育】宣传部、教师工作部党支部召开党史学习教育专题组织生活会,2021-07-08,http://news.njfu.edu.cn/ybdt/20210708/i225753.html
【宣传部】【党史学习教育】宣传部、教师工作部党支部召开党史学习教育专题党课,2021-07-07,http://news.njfu.edu.cn/ybdt/20210707/i225715.html
【后勤处】【党史学习教育】我校食堂开展系列活动庆祝中国共产党成立100周年,2021-07-05,http://news.njfu.edu.cn/ybdt/20210705/i225625.html
【艺术院】【党史学习教育】艺术院举办第一期环境设计国家一流专业课程设计展,2021-07-05,http://news.njfu.edu.cn/ybdt/20210705/i225623.html
【图书馆】图书馆开展“学术信息源获取方法与技巧”业务培训讲座,2021-07-02,http://news.njfu.edu.cn/ybdt/20210702/i225543.html
【材料院】【党史学习教育】材料院党委理论中心组学习领会习近平总书记在庆祝建党100周...,2021-07-02,http://news.njfu.edu.cn/ybdt/20210702/i225540.html
【离退休处】【党史学习教育】离退休处党委第五党支部荣获“江苏省百佳离退休干部党支部”...,2021-07-02,http://news.njfu.edu.cn/ybdt/20210702/i225538.html
【人文院】【党史学习教育】人文院组织师生收看庆祝中国共产党成立100周年大会直播,2021-07-02,http://news.njfu.edu.cn/ybdt/20210702/i225537.html
【图书馆】【党史学习教育】图书馆举办“建党百年，成就辉煌”主题邮展,2021-07-02,http://news.njfu.edu.cn/ybdt/20210702/i225544.html
【图书馆】【党史学习教育】图书馆直属党支部开设党史学习教育专题党课,2021-07-02,http://news.njfu.edu.cn/ybdt/20210702/i225542.html
【林学院】【党史学习教育】林学院组织师生党员观看建党100周年庆祝大会,2021-07-01,http://news.njfu.edu.cn/ybdt/20210701/i225521.html
【纪委办】【党史学习教育】纪监审党支部召开组织生活会讲授专题党课,2021-07-01,http://news.njfu.edu.cn/ybdt/20210701/i225508.html
【网信办】【党史学习教育】网信办举行“南林云盘”使用培训会,2021-06-30,http://news.njfu.edu.cn/ybdt/20210630/i225464.html
【学工处】【党史学习教育】学工处开展“我为学生办实事”系列活动,2021-06-30,http://news.njfu.edu.cn/ybdt/20210630/i225459.html
【继教院】【党史学习教育】继教院直属党支部赴茅山新四军纪念馆开展党史学习教育,2021-06-30 ,http://news.njfu.edu.cn/ybdt/20210630/i225438.html
【土木院】【党史学习教育】土木院与中铁建工共同开讲《建设者的颂歌》艺术党课,2021-06-30 ,http://news.njfu.edu.cn/ybdt/20210630/i225437.html
【财务处】【党史学习教育】财务处开展“财务走访，政策巡讲”系列宣讲活动,2021-06-30 ,http://news.njfu.edu.cn/ybdt/20210630/i225432.html
【学工处】【党史学习教育】南林全体辅导员合唱《美丽南林有我在》送给毕业生,2021-06-30 ,http://news.njfu.edu.cn/ybdt/20210630/i225467.html
【教务处】【党史学习教育】教务处党支部赴淮安开展党史学习教育,2021-06-29 ,http://news.njfu.edu.cn/ybdt/20210629/i225400.html
【外语院】外语院举办2021年暑期社会实践答疑动员大会,2021-06-29,http://news.njfu.edu.cn/ybdt/20210629/i225384.html
【经管院】【党史学习教育】经管院、人文院、校办联合支部上专题党课 ,2021-06-29 ,http://news.njfu.edu.cn/ybdt/20210629/i225356.html
【经管院】【党史学习教育】经管院毕业生党员拍摄笑脸墙迎接党的百年华诞 ,2021-06-29 ,http://news.njfu.edu.cn/ybdt/20210629/i225355.html
【教务处】【党史学习教育】教务处党支部多形式开展党史学习教育 ,2021-06-29 ,http://news.njfu.edu.cn/ybdt/20210629/i225399.html
【轻工院】轻工院举办“南山争鸣”首届研究生学术论坛 ,2021-06-28 ,http://news.njfu.edu.cn/ybdt/20210628/i225336.html
【国合处】【党史学习教育】国合国教联合党支部开展党史学习教育专题党课 ,2021-06-25 ,http://news.njfu.edu.cn/ybdt/20210625/i225261.html
【林学院】【党史学习教育】我校学子登上洋口林场庆祝建党100周年汇演舞台 ,2021-06-25 ,http://news.njfu.edu.cn/ybdt/20210625/i225228.html
【人文院】人文院开展实验室消防安全主题讲座 ,2021-06-24 ,http://news.njfu.edu.cn/ybdt/20210624/i225206.html
【淮安校区】【党史学习教育】淮安校区举行新党员入党宣誓活动 ,2021-06-24 ,http://news.njfu.edu.cn/ybdt/20210624/i225204.html
【实基处】【党史学习教育】实基处党支部召开支部党员大会暨党史学习教育专题党课 ,2021-06-24 ,http://news.njfu.edu.cn/ybdt/20210624/i225207.html
【实基处】我校荣获首届“江苏省高校实验室安全技能大赛”二等奖 ,2021-06-24 ,http://news.njfu.edu.cn/ybdt/20210624/i225208.html
【外语院】外语院举办2021届本科生毕业典礼暨学位授予仪式 ,2021-06-23 ,http://news.njfu.edu.cn/ybdt/20210623/i225157.html
【机电院】机电院举办2021届本科生毕业典礼暨学位授予仪式 ,2021-06-23 ,http://news.njfu.edu.cn/ybdt/20210623/i225158.html
